Model,n_pool,L,Acc,Mean,Params,SeqParams
CNN + Attention,2,576,52.51 ± 0.37,52.5133,110052,99968
Pure CNN,4,36,38.95 ± 0.42,38.9533,15300,0
Pure CNN,3,144,28.59 ± 0.25,28.5933,10372,0
Pure CNN,2,576,26.67 ± 0.31,26.6667,10084,0
CNN + MLP,4,36,50.43 ± 0.15,50.4267,81732,66432
CNN + MLP,3,144,44.35 ± 0.63,44.3467,76804,66432
CNN + MLP,2,576,43.16 ± 0.20,43.1633,76516,66432
CNN + Mamba (Uni),4,36,54.05 ± 0.50,54.05,82884,67584
CNN + Mamba (Uni),3,144,53.65 ± 0.36,53.6467,77956,67584
CNN + Mamba (Bi),4,36,53.98 ± 0.83,53.9767,82884,67584
CNN + Mamba (Bi),3,144,53.47 ± 0.39,53.4667,77956,67584
CNN + Attention,4,36,59.70 ± 0.00,59.7,115268,99968
CNN + Attention,3,144,50.25 ± 0.26,50.2533,110340,99968
